id,NCM,description,cadastro,status,promo_price,unit_price,tax,net_after_commission,cost,lucro,margin,product
COMEDOURO / BEBEDOURO ANTI-FORMIGA,,,,,,,,,,,,
010210,3926.90.90,COMEDOURO GATO AF - 150 mL,ok,,R$ 8.55,R$ 9.50,R$ 0.51,R$ 2.33,R$ 1.05,R$ 1.28,122%,
010211,3926.90.90,COMEDOURO AF N°1 - 300 mL,ok,,R$ 10.71,R$ 11.90,R$ 0.64,R$ 3.93,R$ 1.40,R$ 2.53,180%,
010212,3926.90.90,COMEDOURO AF N°2 - 600 mL ,ok,,R$ 14.31,R$ 15.90,R$ 0.86,R$ 6.59,R$ 1.90,R$ 4.69,247%,
010213,3926.90.90,COMEDOURO AF N°3 - 800 mL,ok,,R$ 16.11,R$ 17.90,R$ 0.97,R$ 7.92,R$ 2.20,R$ 5.72,260%,
010214,3926.90.90,COMEDOURO AF N°4 – 1500 mL,ok,,R$ 19.71,R$ 21.90,R$ 1.18,R$ 10.59,R$ 4.50,R$ 6.09,135%,
COMEDOURO / BEBEDOURO ESPECIAIS,,,,,,,,,,,,
0104020,3926.90.90,BEBEDOURO / COMEDOURO AUTOMÁTICO (CONTAINER),ok,INAT.,R$ 26.90,R$ 29.90,R$ 1.61,R$ 15.91,R$ 7.20,R$ 8.71,121%,
010109,3926.90.90,COMEDOURDO COCKER - 600 mL,INAT.,INAT.,R$ 14.92,R$ 19.90,R$ 0.90,R$ 7.04,R$ 1.80,R$ 5.24,291%,
010315,3926.90.90,BEBEDOURO PELOS LONGOS 800ML,ok,,R$ 13.90,R$ 14.90,R$ 0.83,R$ 6.29,R$ 4.00,R$ 2.29,57%,
010316,3926.90.90,COMILÃO- COMEDOURO EDUCATIVO 600 ML ,ok,,R$ 17.00,R$ 18.99,R$ 1.02,R$ 8.58,R$ 4.20,R$ 4.38,104%,
010319,3926.90.90,COMEDOURO DUPLO AUTOMÁTICO FILHOTE 500ML,INAT.,INAT.,R$ 12.93,R$ 19.90,R$ 0.78,R$ 5.57,R$ 2.50,R$ 3.07,123%,
010320,3926.90.90,COMEDOURO DUPLO AUTOMÁTICO ADULTO 1200ML,INAT.,INAT.,R$ 16.18,R$ 24.90,R$ 0.97,R$ 7.97,R$ 3.60,R$ 4.37,121%,
010317,3926.90.90,COMEDOURO ERGONÔMICO PARA GATO FILHOTE - 80 mL,ok,ok,R$ 9.90,R$ 12.90,R$ 0.59,R$ 3.33,R$ 1.70,R$ 1.63,96%,
010318,3926.90.90,COMEDOURO ERGONÔMICO PARA GATO ADULTO - 150 mL,ok,ok,R$ 12.90,R$ 14.90,R$ 0.77,R$ 5.55,R$ 2.65,R$ 2.90,109%,
PRODUTOS PARA GATO BRINQUEDOS E ACESSÓRIOS,,,,,,,,,,,,
0666,3926.90.90,"KIT BANDEJA GATO
(1 bandeja, 2 comedouros e 1 pá)",ok,ok,R$ 18.90,R$ 24.90,R$ 1.13,R$ 9.99,R$ 4.50,R$ 5.49,122%,
0665,3926.90.90,"BANDEJA GATO  C40 X L27 X A7cm
",INAT.,,R$ 14.92,R$ 19.90,R$ 0.90,R$ 7.04,R$ 3.50,R$ 3.54,101%,
0667,3926.90.90,PÁ SIMPLES,ok,ok,R$ 9.41,R$ 9.90,R$ 0.56,R$ 2.96,R$ 0.70,R$ 2.26,323%,
070001,3904.61.90,"RATINHO 6,5 X 3,5 BORRACHA COLOR POTE C/ 30 UNIDADES",,,R$ 67.91,R$ 79.90,R$ 4.07,R$ 46.25,R$ 39.00,R$ 7.25,19%,
070001,3904.61.90,"RATINHO 6,5 X 3,5 BORRACHA COLOR PACOTE C/10 UNIDADES",,,R$ 33.91,R$ 39.90,R$ 2.03,R$ 21.09,R$ 13.00,R$ 8.09,62%,
070001,3904.61.90,"RATINHO 6,5 X 3,5 BORRACHA COLOR PACOTE C/3 UNIDADES",,,R$ 16.91,R$ 19.90,R$ 1.01,R$ 8.51,R$ 3.90,R$ 4.61,118%,
,9506.69.00,VARINHA CAT MARABU (PLUMA),ok,ok,R$ 11.69,R$ 12.99,R$ 0.70,R$ 4.65,R$ 2.55,R$ 2.10,82%,
5105000051,9506.69.00,VARINHA CAT C/ VENTOSA C/ GUIZO ,ok,ok,R$ 11.99,R$ 14.99,R$ 0.72,R$ 4.87,R$ 2.39,R$ 2.48,104%,
5102000051,9506.69.00,VARINHA CAT C/ BOLA,ok,ok,R$ 11.69,R$ 12.99,R$ 0.70,R$ 4.65,R$ 2.73,R$ 1.92,70%,
5103000051,9506.69.00,VARINHA CAT C/ RATO,ok,ok,R$ 11.69,R$ 12.99,R$ 0.70,R$ 4.65,R$ 2.55,R$ 2.10,82%,
F7700034,3904.61.90,LUVA MÁGICA TIRA PELO,ok,ok,R$ 11.99,R$ 16.90,R$ 0.72,R$ 4.87,R$ 2.99,R$ 1.88,63%,
0668,3926.90.90,RASTELO - ESCOVA,ok,,R$ 7.90,R$ 9.90,R$ 0.47,R$ 1.85,R$ 0.50,R$ 1.35,269%,
7822295004753,8516.32.00,ESCOVA A VAPOR TIRA PELOS ,ok,ok,R$ 17.43,R$ 24.90,R$ 1.05,R$ 8.90,R$ 7.50,R$ 1.40,19%,
78987019223734,3926.90.90,TORRE DE BOLINHA GATINHO,ok,ok,R$ 59.99,R$ 44.90,R$ 3.60,R$ 40.39,R$ 17.18,R$ 23.21,135%,
7898701921297,3926.90.90,TRILHO PARA GATO,ok,ok,R$ 32.90,R$ 42.90,R$ 1.97,R$ 20.35,R$ 14.35,R$ 6.00,42%,
,1209.91.00,GRAMINHA PARA GATO,ok,ok,R$ 17.96,R$ 16.90,R$ 1.08,R$ 9.29,R$ 4.60,R$ 4.69,102%,
PRODUTOS PARA CÃES E GATOS DIVERSOS,,,,,,,,,,,,
7898701923673,3926.90.90,CANETA GRAVADORA,ok,ok,R$ 35.91,R$ 44.90,R$ 2.15,R$ 22.57,R$ 9.60,R$ 12.97,135%,
789110190845,9603.90.00,PENTE TIRA PULGA FERPLAST,ok,ok,R$ 12.90,R$ 16.90,R$ 0.77,R$ 5.55,R$ 2.45,R$ 3.10,126%,
78987010825,3926.90.90,KIT MAMADEIRA 60ML,,,R$ 18.90,R$ 24.90,R$ 1.13,R$ 9.99,R$ 6.31,R$ 3.68,58%,
789404020948,9603.90.00,ROLO TIRA PELOS,,,R$ 12.90,R$ 16.90,R$ 0.77,R$ 5.55,R$ 2.26,R$ 3.29,145%,
789409126876,3926.90.90,KIT REFIL CATA CACA 12 ROLOS + SUPORTE,,,R$ 24.90,R$ 29.90,R$ 1.49,R$ 14.43,R$ 9.60,R$ 4.83,50%,
06102AZ,3926.90.90,SANITÁRIO XIXI DOG 56CM X 42CM     AZUL,ok,,R$ 23.92,R$ 29.90,R$ 1.44,R$ 13.70,R$ 10.00,R$ 3.70,37%,
06102RS,3926.90.90,SANITÁRIO XIXI DOG 56CM X 42CM     ROSA,ok,,R$ 23.92,R$ 29.90,R$ 1.44,R$ 13.70,R$ 10.00,R$ 3.70,37%,
06102VM,3926.90.90,SANITÁRIO XIXI DOG 56CM X 42CM     VERMELHO,ok,,R$ 23.92,R$ 29.90,R$ 1.44,R$ 13.70,R$ 10.00,R$ 3.70,37%,
06102PT,3926.90.90,SANITÁRIO XIXI DOG 56CM X 42CM PRETO,ok,,R$ 23.92,R$ 29.90,R$ 1.44,R$ 13.70,R$ 9.00,R$ 4.70,52%,
CAIXAS DE TRANSPORTE,,,,,,,,,,,,
,3923.10.90,CAIXA DE TRANSPORTE MMA Nº0 FILHOTE,INAT.,ok,R$ 42.99,R$ 49.99,R$ 2.58,R$ 27.81,R$ 13.70,R$ 14.11,103%,
,3923.10.90,CAIXA DE MMA TRANSPORTE Nº1 ,INAT.,ok,R$ 54.99,R$ 69.99,R$ 3.30,R$ 36.69,R$ 19.90,R$ 16.79,84%,
,3923.10.90,CAIXA DE MMA TRANSPORTE Nº2 ,INAT.,ok,R$ 69.99,R$ 79.99,R$ 4.20,R$ 47.79,R$ 31.20,R$ 16.59,53%,
,3923.10.90,CAIXA DE MMA TRANSPORTE Nº3 ,INAT.,ok,R$ 99.00,R$ 129.99,R$ 5.94,R$ 69.26,R$ 47.99,R$ 21.27,44%,
,3923.10.90,CAIXA DE MMA TRANSPORTE Nº4,INAT.,ok,R$ 149.99,R$ 179.99,R$ 9.00,R$ 106.99,R$ 73.50,R$ 33.49,46%,